NAMES,SMILES,VALUE
C0460_A0003,CC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,430
C0460_A0084,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,440
C0811_A0020,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,435
C0811_A0008,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,272
C0811_A0043,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,312
C0811_A0009,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,298
C0811_A0021,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,305
C0811_A0048,CCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,452
C0811_A0028,CCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,300
C0811_A0079,CCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,285
C0811_A0033,CCC[n+]1ccn(C)c1.[Cl-],281
C0854_A0069,CC(C)[n+]1ccn(C)c1.[I-],296
C0854_A0048,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,432
C0854_A0028,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,310
C0854_A0079,CC(C)[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,310
C0854_A0011,CC(C)[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,332
C0291_A0008,COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,225
C0291_A0043,COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,288
