NAMES,SMILES,TEMPERATURE,PRESSURE,VALUE
C1119_A0154,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.COc1ccc([O-])cc1,295,0.1,2.77
C1119_A0154,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.COc1ccc([O-])cc1,298,0.1,2.7
C1119_A0154,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.COc1ccc([O-])cc1,303,0.1,2.56
C1119_A0154,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.COc1ccc([O-])cc1,313,0.1,2.32
C1119_A0154,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.COc1ccc([O-])cc1,323,0.1,2.1
C1119_A0154,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.COc1ccc([O-])cc1,333,0.1,1.92
C1119_A0154,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.COc1ccc([O-])cc1,343,0.1,1.78
C1119_A0154,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.COc1ccc([O-])cc1,353,0.1,1.63
C1567_A0048,CN1CCCN2CCC[NH+]=C12.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,296,0.1,2.17
C1567_A0048,CN1CCCN2CCC[NH+]=C12.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,313,0.1,1.8
C1567_A0048,CN1CCCN2CCC[NH+]=C12.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,373,0.1,1.02
C1567_A0067,CN1CCCN2CCC[NH+]=C12.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,296,0.1,2.62
C1567_A0067,CN1CCCN2CCC[NH+]=C12.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,313,0.1,2.14
C1567_A0067,CN1CCCN2CCC[NH+]=C12.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,373,0.1,1.15
C1490_A0067,CN(C)C(=[NH2+])N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,296,0.1,2.35
C1490_A0067,CN(C)C(=[NH2+])N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,313,0.1,1.91
C1490_A0067,CN(C)C(=[NH2+])N(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,373,0.1,1.01
C1199_A0316,CCCC[P+](CCCC)(CCCC)CCCC.[O-]c1ccccn1,293,0.1,2.29
C1199_A0317,CCCC[P+](CCCC)(CCCC)CCCC.[O-]c1cccnc1,293,0.1,2.51
C1119_A0316,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[O-]c1ccccn1,293,0.1,2.76
C0297_A0316,CCCC[N+](CCCC)(CCCC)CCCC.[O-]c1ccccn1,293,0.1,2.99
C0297_A0317,CCCC[N+](CCCC)(CCCC)CCCC.[O-]c1cccnc1,293,0.1,3.2
C1119_A0141,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.NCC(=O)[O-],283,0.1,2.97
C1119_A0141,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.NCC(=O)[O-],293,0.1,2.69
C1119_A0141,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.NCC(=O)[O-],295,0.1,2.63
C1119_A0141,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.NCC(=O)[O-],298,0.1,2.56
C1119_A0141,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.NCC(=O)[O-],303,0.1,2.45
C1119_A0141,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.NCC(=O)[O-],313,0.1,2.23
C1119_A0141,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.NCC(=O)[O-],323,0.1,2
C1119_A0141,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.NCC(=O)[O-],333,0.1,1.85
C1119_A0141,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.NCC(=O)[O-],343,0.1,1.68
C1119_A0134,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C[C@H](N)C(=O)[O-],283,0.1,3.08
C1119_A0134,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C[C@H](N)C(=O)[O-],293,0.1,2.79
C1119_A0134,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C[C@H](N)C(=O)[O-],298,0.1,2.65
C1119_A0134,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C[C@H](N)C(=O)[O-],303,0.1,2.53
C1119_A0134,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C[C@H](N)C(=O)[O-],313,0.1,2.3
C1119_A0134,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C[C@H](N)C(=O)[O-],323,0.1,2.11
C1119_A0134,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C[C@H](N)C(=O)[O-],333,0.1,1.92
C1119_A0134,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C[C@H](N)C(=O)[O-],343,0.1,1.76
C1119_A0200,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CNCC(=O)[O-],283,0.1,3.08
C1119_A0200,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CNCC(=O)[O-],293,0.1,2.78
C1119_A0200,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CNCC(=O)[O-],298,0.1,2.64
C1119_A0200,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CNCC(=O)[O-],303,0.1,2.51
C1119_A0200,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CNCC(=O)[O-],313,0.1,2.28
C1119_A0200,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CNCC(=O)[O-],323,0.1,2.04
C1119_A0200,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CNCC(=O)[O-],333,0.1,1.87
